request_host,request_path,request_url,request_port,request_method,request_scheme,request_http_version,request_timestamp_start,request_timestamp_end,request_duration,request_header_user_agent,request_header_x_requested_with,response_size,response_http_version,response_status_code,response_reason,response_timestamp_start,response_timestamp_end,response_duration,response_header_date,response_header_content_length,response_header_content_type
itunes.apple.com,/lookup?id=360084272,itunes.apple.com/lookup?id=360084272,443,GET,https,HTTP/2.0,1596455536.609159,1596455536.71812,0.10896110534667969,AntennaPod/1.7.2b,NA,622,HTTP/2.0,200,NA,1595957641.4707208,1595957641.4875925,0.01687169075012207,NA,NA,NA
joeroganexp.joerogan.libsynpro.com,/rss,joeroganexp.joerogan.libsynpro.com/rss,80,GET,http,HTTP/1.1,1596455536.832629,1596455536.8370175,0.004388570785522461,AntennaPod/1.7.2b,NA,307892,HTTP/1.1,200,OK,1595957642.358797,1595957643.4181356,1.0593385696411133,NA,NA,NA
itunes.apple.com,/lookup?id=1524080195,itunes.apple.com/lookup?id=1524080195,443,GET,https,HTTP/2.0,1596455543.7771957,1596455543.8810556,0.10385990142822266,AntennaPod/1.7.2b,NA,628,HTTP/2.0,200,NA,1595957654.472054,1595957654.4775553,0.005501270294189453,NA,NA,NA
rss.art19.com,/nice-white-parents,rss.art19.com/nice-white-parents,443,GET,https,HTTP/2.0,1596455544.1330297,1596455544.2454023,0.11237263679504395,AntennaPod/1.7.2b,NA,1803,HTTP/2.0,200,NA,1595957655.2313805,1595957655.2451217,0.013741254806518555,NA,NA,NA
itunes.apple.com,/en/rss/toppodcasts/limit=25/explicit=true/json,itunes.apple.com/en/rss/toppodcasts/limit=25/explicit=true/json,443,GET,https,HTTP/2.0,1596455556.6329095,1596455556.741496,0.10858654975891113,AntennaPod/1.7.2b,NA,0,HTTP/2.0,400,NA,1595957635.1913419,1595957635.1966062,0.0052642822265625,NA,NA,NA
itunes.apple.com,/us/rss/toppodcasts/limit=25/explicit=true/json,itunes.apple.com/us/rss/toppodcasts/limit=25/explicit=true/json,443,GET,https,HTTP/2.0,1596455556.7733746,1596455556.878775,0.10540032386779785,AntennaPod/1.7.2b,NA,10075,HTTP/2.0,200,NA,1595957635.5496078,1595957635.6667664,0.11715865135192871,NA,NA,NA
is4-ssl.mzstatic.com,/image/thumb/Podcasts114/v4/3f/16/74/3f167426-bf50-ce3a-d709-e4301620fc5b/mza_5832671293059882550.jpeg/170x170bb.png,is4-ssl.mzstatic.com/image/thumb/Podcasts114/v4/3f/16/74/3f167426-bf50-ce3a-d709-e4301620fc5b/mza_5832671293059882550.jpeg/170x170bb.png,443,GET,https,HTTP/2.0,1596455557.1643033,1596455557.26949,0.10518670082092285,Dalvik/2.1.0 (Linux; U; Android 6.0; Nexus 6P Build/MDB08K),NA,26177,HTTP/2.0,200,NA,1595957637.6289163,1595957637.6497962,0.02087998390197754,NA,NA,NA
is4-ssl.mzstatic.com,/image/thumb/Podcasts113/v4/e5/8a/10/e58a108f-f5d0-f622-c94a-13f66edd570c/mza_3025981348644196724.jpg/170x170bb.png,is4-ssl.mzstatic.com/image/thumb/Podcasts113/v4/e5/8a/10/e58a108f-f5d0-f622-c94a-13f66edd570c/mza_3025981348644196724.jpg/170x170bb.png,443,GET,https,HTTP/2.0,1596455557.172631,1596455557.2861602,0.11352920532226562,Dalvik/2.1.0 (Linux; U; Android 6.0; Nexus 6P Build/MDB08K),NA,45995,HTTP/2.0,200,NA,1595957637.6495504,1595957637.738672,0.08912158012390137,NA,NA,NA
is5-ssl.mzstatic.com,/image/thumb/Podcasts114/v4/93/cf/99/93cf9960-fff3-205e-6655-72c03ddeccb2/mza_10545582232493904175.jpeg/170x170bb.png,is5-ssl.mzstatic.com/image/thumb/Podcasts114/v4/93/cf/99/93cf9960-fff3-205e-6655-72c03ddeccb2/mza_10545582232493904175.jpeg/170x170bb.png,443,GET,https,HTTP/2.0,1596455557.2054243,1596455557.319773,0.1143486499786377,Dalvik/2.1.0 (Linux; U; Android 6.0; Nexus 6P Build/MDB08K),NA,22351,HTTP/2.0,200,NA,1595957637.877427,1595957637.9116464,0.03421926498413086,NA,NA,NA
is2-ssl.mzstatic.com,/image/thumb/Podcasts113/v4/a9/39/cc/a939ccc5-6d60-0c11-0a4c-16d71cdef89b/mza_8787577209688278658.jpg/170x170bb.png,is2-ssl.mzstatic.com/image/thumb/Podcasts113/v4/a9/39/cc/a939ccc5-6d60-0c11-0a4c-16d71cdef89b/mza_8787577209688278658.jpg/170x170bb.png,443,GET,https,HTTP/2.0,1596455557.208152,1596455557.3339303,0.1257781982421875,Dalvik/2.1.0 (Linux; U; Android 6.0; Nexus 6P Build/MDB08K),NA,48239,HTTP/2.0,200,NA,1595957637.6873133,1595957637.7582183,0.07090497016906738,NA,NA,NA
