Treatment,Subject,App package,Run number,Duration [ms],Memory Usage [KB],Battery Power [uW] (Raw),Battery Power [uW] (Delta),CPU Load [%],Battery Power [uW] (Raw) (Non zero),Battery Power [uW] (Delta) (Non zero)
nappagreedy,nappagreedy.de.danoeh.antennapod.debug,de.danoeh.antennapod.debug,3,153572,2519028.8506197,1399186.6621004567,1399186.6621004567,27.63836944047651,2644825.0961775584,2644825.0961775584
baseline,baseline.de.danoeh.antennapod.debug,de.danoeh.antennapod.debug,1,152477,2485268.8357424443,772962.2089356111,768974.2089356111,26.30946123521682,772962.2089356111,768974.2089356111
baseline,baseline.de.danoeh.antennapod.debug,de.danoeh.antennapod.debug,2,155806,2550459.17170418,776542.8321543408,776542.8321543408,32.14983922829582,840309.04940849,840309.04940849
baseline,baseline.de.danoeh.antennapod.debug,de.danoeh.antennapod.debug,3,152955,2577929.747216765,808543.4092992797,808543.4092992797,26.87547995500335,1324727.238197425,1324727.238197425
nappagreedy,nappagreedy.io.github.project_travel_mate,io.github.project_travel_mate,1,133755,2629369.6449438203,185263.51535580526,185263.51535580526,35.635955056179775,397631.5,397631.5
nappagreedy,nappagreedy.io.github.project_travel_mate,io.github.project_travel_mate,2,135241,2573937.9051851854,917903.3451851852,917903.3451851852,37.39259259259259,3210283.720207254,3210283.720207254
nappagreedy,nappagreedy.io.github.project_travel_mate,io.github.project_travel_mate,3,133971,2630902.004487659,863508.0703066566,863508.0703066566,33.106207928197456,1859114.7987117553,1859114.7987117553
nappatfpr,nappatfpr.com.ak.uobtimetable,com.ak.uobtimetable,1,69368,2535122.17027417,928731.7157287158,928731.7157287158,47.05337023085941,1034744.5,1034744.5
nappatfpr,nappatfpr.com.ak.uobtimetable,com.ak.uobtimetable,2,68584,2671152.5605839416,963752.3416058394,963752.3416058394,38.28500612712451,1528172.1157407407,1528172.1157407407
nappatfpr,nappatfpr.com.ak.uobtimetable,com.ak.uobtimetable,3,68150,2490811.019089574,531098.4111600587,0.0,33.70337738619677,531098.4111600587,0.0
nappatfpr,nappatfpr.com.newsblur,com.newsblur,1,109953,2377641.1157702827,852521.481312671,852521.481312671,23.43391066545123,1125410.4271961492,1125410.4271961492
